genre,artist_name,track_name,Rank_x,emotion_score_x,emotion_bucket,Rank,Game Title,Year,Genre,emotion_score_y
Reggaeton,"Franco ""El Gorilla""",De Mi para Ti,0.6808510638297872,0.28,28,0.6747114375655824,Scooby-Doo! Night of 100 Frights,2002.0,Platform,0.27
Opera,Plácido Domingo,De México A Buenos Aires,0.851063829787234,0.71,71,0.8551941238195173,Pro Evolution Soccer 2008,2007.0,Sports,0.7
Opera,Plácido Domingo,De México a Buenos Aires,0.7340425531914894,0.71,71,0.7371458551941238,Deca Sports,2008.0,Sports,0.7
Reggaeton,Tony Dize,De Nada Sirve,0.7340425531914894,0.42,42,0.7182581322140609,Theme Hospital,1997.0,Strategy,0.43
Reggaeton,Don Omar,De Niña Te Hice Mi Mujer - Live,0.8191489361702128,0.27,27,0.8132214060860441,Donkey Kong,1994.0,Platform,0.27
Classical,Stephan Forté,De Praestigiis Daemonum,0.7127659574468085,0.49,49,0.7177334732423925,uDraw Studio,2010.0,Misc,0.5
Soundtrack,Max Richter,De Profundis,0.5638297872340425,0.91,91,0.5624344176285415,Harry Potter and the Sorcerer's Stone,2001.0,Action,0.92
Reggaeton,Anonimus,"De Rumba (Remix) [feat. Wisin, Farruko & Baby Rasta y Gringo]",0.6382978723404256,0.29,28,0.6448058761804827,Sonic Unleashed,2008.0,Platform,0.27
Reggaeton,Jory Boy,De Ti Depende (feat. Plan B),0.5531914893617021,0.26,26,0.5519412381951732,Disney's DuckTales,1989.0,Platform,0.27
Reggaeton,Andy Rivera,De Vez en Cuando (feat. Feid),0.6702127659574468,0.43,43,0.6694648478488983,Warcraft: Orcs & Humans,1994.0,Strategy,0.43
Reggaeton,Guaco,De Vuelta a Tu Corazón - En Vivo,0.6382978723404256,0.51,51,0.6432318992654774,Rayman Raving Rabbids: TV Party,2008.0,Misc,0.5
Reggaeton,J Alvarez,De la Mia Personal - Reloaded,0.4468085106382978,0.42,42,0.4286463798530955,Pocket Monsters Stadium,1998.0,Strategy,0.43
Reggae,Zona Ganjah,De la Tierra Crece,0.4148936170212766,0.29,28,0.4139559286463798,Donkey Kong Jungle Beat,2004.0,Platform,0.27
Movie,Bruno Pelletier,De sable et de soif,0.851063829787234,0.63,63,0.85099685204617,Left 4 Dead 2,2009.0,Shooter,0.63
Movie,Grégory Lemarchal,De temps en temps,0.5531914893617021,0.44,44,0.5383001049317944,Pikmin,2001.0,Strategy,0.43
Rap,Hobo Johnson,DeMarcus Cousins & Ashley,0.4361702127659574,0.51,51,0.4349422875131165,Kinectimals,2010.0,Simulation,0.5
Comedy,Dan Cummins,Dead,0.7340425531914894,0.58,57,0.7350472193074502,Twisted Metal 2,1996.0,Racing,0.58
R&B,Madison Beer,Dead - Acoustic,0.4680851063829787,0.64,64,0.4695697796432319,Call of Duty: Modern Warfare: Reflex Edition,2009.0,Shooter,0.63
Ska,Lars Frederiksen and the Bastards,Dead Americans,0.6063829787234042,0.26,26,0.6028331584470095,Sonic & Knuckles,1994.0,Platform,0.27
Hip-Hop,$uicideBoy$,Dead Batteries,0.3191489361702128,0.43,43,0.3189926547743966,Pikmin 2,2004.0,Strategy,0.43
Ska,NOFX,Dead Beat Mom,0.6382978723404256,0.42,42,0.6636935991605457,Sim Theme Park,1998.0,Strategy,0.43
Comedy,Monty Python,Dead Bishops/Rats,0.8936170212765957,0.62,62,0.8861490031479539,Resistance: Fall of Man,2006.0,Shooter,0.63
Rap,Sarcastic Sounds,Dead Dreams,0.3404255319148936,0.69,69,0.3368310598111227,Winter Sports: The Ultimate Challenge,2007.0,Sports,0.7
Ska,Dead Kennedys,Dead End,0.7021276595744681,0.28,28,0.7009443861490031,Sonic Advance,2001.0,Platform,0.27
Soundtrack,Bill Elm & Woody Jackson,Dead End Alley,0.5531914893617021,0.69,69,0.5524658971668416,Tony Hawk's Pro Skater 3,2001.0,Sports,0.7
Alternative,Them Crooked Vultures,Dead End Friends,0.5638297872340425,0.26,26,0.5613850996852047,Ratchet & Clank Future: A Crack in Time,2009.0,Platform,0.27
Anime,MAN WITH A MISSION,Dead End in Tokyo,0.6170212765957447,0.44,44,0.6636935991605457,Sim Theme Park,1998.0,Strategy,0.43
Folk,Townes Van Zandt,Dead Flowers,0.4787234042553191,0.64,64,0.4774396642182581,Dirge of Cerberus: Final Fantasy VII,2006.0,Shooter,0.63
Folk,Stars,Dead Hearts,0.5106382978723404,0.7,70,0.5115424973767052,Skate 3,2010.0,Sports,0.7
Rock,Muse,Dead Inside,0.351063829787234,0.42,42,0.3237145855194124,RollerCoaster Tycoon 2,2002.0,Strategy,0.43
Soundtrack,Sarah Schachner,Dead Kings and Living Gods,0.6595744680851063,0.71,71,0.6589716684155299,Madden NFL 13,2012.0,Sports,0.7
Classical,Chris Thile,Dead Leaves And The Dirty Ground,0.5744680851063829,0.42,42,0.5383001049317944,Pikmin,2001.0,Strategy,0.43
Blues,The White Stripes,Dead Leaves and the Dirty Ground,0.7127659574468085,0.56,56,0.7114375655823715,Need For Speed: High Stakes,1999.0,Racing,0.58
