,Rank,Game Title,Year,Genre,energy,tempo,valence
290,0.8436516264428122,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996.0,Platform,0.3,0.2,0.3
291,0.8431269674711438,Cooking Mama 2: Dinner With Friends,2007.0,Simulation,0.6,0.5,0.4
292,0.8415529905561385,Who wants to be a millionaire,1999.0,Misc,0.5,0.5,0.5
293,0.8410283315844701,Sports Champions,2010.0,Sports,0.9,0.8,0.4
294,0.8405036726128017,FIFA Soccer 11,2010.0,Sports,0.9,0.8,0.4
295,0.8399790136411333,Diablo,1996.0,Role-Playing,0.7,0.8,0.8
296,0.8394543546694648,Guitar Hero: On Tour,2008.0,Misc,0.5,0.5,0.5
297,0.8389296956977964,Tekken 4,2002.0,Fighting,0.8,0.8,0.8
298,0.8384050367261281,Mario & Sonic at the London 2012 Olympic Games,2011.0,Sports,0.9,0.8,0.4
299,0.8378803777544597,Grand Theft Auto 2,1998.0,Adventure,0.85,0.9,0.8
300,0.8373557187827912,Final Fantasy III,1994.0,Role-Playing,0.7,0.8,0.8
301,0.8368310598111228,Spider-Man 2,2004.0,Action,1.0,1.0,0.75
302,0.8363064008394544,F-1 Race,1990.0,Racing,0.75,0.6,0.4
303,0.835781741867786,FIFA Soccer 2003,2002.0,Sports,0.9,0.8,0.4
304,0.8352570828961176,Crash Bash,2000.0,Misc,0.5,0.5,0.5
305,0.8347324239244491,Fallout: New Vegas,2010.0,Role-Playing,0.7,0.8,0.8
306,0.8342077649527807,The Legend of Zelda: Majora's Mask,2000.0,Adventure,0.85,0.9,0.8
307,0.8336831059811123,WWF War Zone,1998.0,Fighting,0.8,0.8,0.8
308,0.8331584470094439,Clubhouse Games,2006.0,Misc,0.5,0.5,0.5
309,0.8326337880377754,Rugrats: Search For Reptar,1998.0,Adventure,0.85,0.9,0.8
310,0.832109129066107,English Training: Have Fun Improving Your Skills!,2006.0,Misc,0.5,0.5,0.5
311,0.8315844700944386,Mario & Sonic at the Olympic Winter Games,2009.0,Sports,0.9,0.8,0.4
312,0.8310598111227703,James Bond 007: Nightfire,2002.0,Shooter,0.6,0.4,0.9
313,0.8305351521511019,Ratchet & Clank,2002.0,Platform,0.3,0.2,0.3
314,0.8300104931794334,Star Wars Episode III: Revenge of the Sith,2005.0,Action,1.0,1.0,0.75
315,0.829485834207765,Max Payne,2001.0,Shooter,0.6,0.4,0.9
316,0.8289611752360966,Battlefield: Bad Company 2,2010.0,Shooter,0.6,0.4,0.9
317,0.8284365162644282,Resident Evil 5,2009.0,Action,1.0,1.0,0.75
318,0.8279118572927597,World of Warcraft: Cataclysm,2010.0,Role-Playing,0.7,0.8,0.8
319,0.8273871983210913,The Lord of the Rings: The Return of the King,2003.0,Action,1.0,1.0,0.75
320,0.8268625393494229,True Crime: Streets of LA,2003.0,Action,1.0,1.0,0.75
321,0.8263378803777545,Left 4 Dead,2008.0,Shooter,0.6,0.4,0.9
322,0.825813221406086,Tekken,1995.0,Fighting,0.8,0.8,0.8
323,0.8252885624344176,007: Tomorrow Never Dies,1999.0,Shooter,0.6,0.4,0.9
324,0.8247639034627492,Killer Instinct,1995.0,Fighting,0.8,0.8,0.8
