Rank,Game Title,Year,Genre
365,Tom Clancy's Splinter Cell,2002.0,Action
366,Rhythm Heaven,2008.0,Misc
367,The Legend of Zelda: Ocarina of Time,2011.0,Adventure
368,Mike Tyson's Punch-Out!!,1987.0,Fighting
369,WWE SmackDown! Shut Your Mouth,2002.0,Sports
370,Kung Fu Panda,2008.0,Platform
371,LEGO Batman: The Videogame,2008.0,Adventure
372,Dragon Ball Z: Budokai Tenkaichi 3,2007.0,Fighting
373,Batman: Arkham Asylum,2009.0,Action
374,wwe Smackdown vs. Raw 2006,,Fighting
375,Star Fox,1993.0,Shooter
376,The Sims: Livin Large,2000.0,Misc
377,World Soccer Winning Eleven 6 International,2002.0,Sports
378,Devil May Cry,2001.0,Action
379,Mass Effect 2,2010.0,Role-Playing
380,Dance Central,2010.0,Misc
381,Sonic Heroes,2003.0,Platform
382,Hitman 2: Silent Assassin,2002.0,Action
383,Nintendogs + cats,2011.0,Simulation
384,Wave Race 64,1996.0,Racing
385,SOCOM II: U.S. Navy SEALs,2003.0,Shooter
386,WWE SmackDown! vs. RAW 2006,2005.0,Fighting
387,Pac-Man Collection,2001.0,Puzzle
388,Gran Turismo,2009.0,Racing
389,Yoshi's Island: Super Mario Advance 3,2002.0,Platform
390,Sonic Mega Collection Plus,2004.0,Misc
391,World Soccer Winning Eleven 7 International,2003.0,Sports
392,Hot Shots Golf 3,2001.0,Sports
393,Killzone 2,2009.0,Shooter
394,Call of Duty: Finest Hour,2004.0,Shooter
395,Syphon Filter,1999.0,Shooter
396,LittleBigPlanet 2,2011.0,Platform
397,Colin McRae Rally,1998.0,Racing
398,Kirby Super Star Ultra,2008.0,Platform
399,The Elder Scrolls III: Morrowind,2002.0,Role-Playing
400,Disney Epic Mickey,2010.0,Platform
401,Imagine: Babyz,2007.0,Simulation
402,Yoshi's Story,1997.0,Platform
403,F-Zero,1990.0,Racing
404,Doom,1992.0,Shooter
405,Command & Conquer: Red Alert,1996.0,Strategy
406,Sega Superstars Tennis,2008.0,Sports
407,Cooking Mama: Cook Off,2007.0,Simulation
408,WarioWare: Smooth Moves,2006.0,Puzzle
409,WWE SmackDown! vs. Raw,2002.0,Fighting
410,LEGO Batman: The Videogame,2008.0,Adventure
411,Diablo II,2000.0,Role-Playing
412,Metroid Prime,2002.0,Shooter
413,Finding Nemo,2003.0,Action
414,WWE SmackDown! Here Comes the Pain,2003.0,Fighting
415,The Elder Scrolls V: Skyrim,2011.0,Role-Playing
416,Imagine: Fashion Designer,2007.0,Simulation
417,Hot Shots Golf,1997.0,Sports
418,A Bug's Life,1998.0,Platform
419,WWF SmackDown! Just Bring It,2001.0,Fighting
420,Mortal Kombat Trilogy,1996.0,Fighting
421,The Elder Scrolls IV: Oblivion,2007.0,Role-Playing
422,NBA Street,2001.0,Sports
423,Madden NFL 10,2009.0,Sports
424,Jak II,2003.0,Platform
425,Ratchet & Clank: Going Commando,2003.0,Platform
426,The Sims,2003.0,Simulation
427,Battlefield: Bad Company 2,2010.0,Shooter
428,Mass Effect,2007.0,Role-Playing
429,Mario Paint,1992.0,Misc
430,Saints Row 2,2008.0,Action
431,Pokémon Stadium 2,2000.0,Strategy
432,Metroid,1986.0,Adventure
433,L.A. Noire,2011.0,Adventure
434,Age of Empires II: The Age of Kings,1999.0,Strategy
435,LEGO Batman: The Videogame,,Adventure
436,The Legend of Zelda: A Link to the Past,2002.0,Adventure
437,Onimusha: Warlords,2001.0,Action
438,Mario Party,1998.0,Misc
439,Mass Effect 3,2012.0,Role-Playing
440,LEGO Star Wars II: The Original Trilogy,2006.0,Action
441,Yoshi's Island DS,2006.0,Platform
442,Burnout 3: Takedown,2004.0,Racing
443,Mortal Kombat,1992.0,Fighting
444,Call Of Duty 2: Big Red One,2005.0,Shooter
445,Medal of Honor,1998.0,Shooter
446,Fable,2004.0,Role-Playing
447,Tom Clancy's Splinter Cell,2003.0,Action
448,Super Mario Bros. 2 (FDS),1986.0,Platform
449,Star Wars: Shadows of the Empire,1996.0,Action
450,Hannah Montana,2006.0,Action
451,Madden NFL 11,2010.0,Sports
452,Midnight Club: Street Racing,2000.0,Racing
453,ESPN NFL 2K5,2004.0,Sports
454,Madden NFL 12,2011.0,Sports
455,Call of Duty 3,2006.0,Shooter
456,Harry Potter and the Chamber of Secrets,2002.0,Adventure
457,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010.0,Puzzle
458,Medal of Honor,2010.0,Shooter
459,Streets of Rage,1990.0,Action
460,NBA Live 2005,2004.0,Sports
461,inFAMOUS,2009.0,Action
462,BioShock,2007.0,Shooter
463,Sonic and the Secret Rings,2007.0,Platform
464,WWE SmackDown vs. RAW 2007,2006.0,Fighting
465,Ratchet & Clank: Up Your Arsenal,2004.0,Platform
466,Medal of Honor Heroes,2006.0,Shooter
467,Tekken: Dark Resurrection,2006.0,Fighting
468,Madden NFL 08,2007.0,Sports
469,FIFA Soccer 10,2009.0,Sports
470,Star Wars: The Old Republic,2011.0,Role-Playing
471,Sonic Adventure 2 Battle,2001.0,Platform
472,Dragon Warrior II,1987.0,Role-Playing
473,Super Mario All-Stars: Limited Edition,2010.0,Platform
474,Guitar Hero: World Tour,2008.0,Misc
475,Star Wars: The Force Unleashed,2008.0,Action
476,Zumba Fitness 2,2011.0,Sports
477,Pokémon Colosseum,2003.0,Role-Playing
478,Need for Speed: Shift,2009.0,Racing
479,NBA 2K12,2011.0,Sports
480,God of War Collection,2009.0,Action
481,Crazy Taxi,2001.0,Racing
482,Perfect Dark,2000.0,Action
483,Monster Hunter Freedom 2,2007.0,Role-Playing
484,FIFA Soccer 09,2008.0,Sports
485,Tekken 6,2009.0,Fighting
486,PES 2009: Pro Evolution Soccer,2008.0,Sports
487,Mario Party 2,1999.0,Misc
488,Madden NFL 09,2008.0,Sports
489,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003.0,Action
490,Mario Strikers Charged,2007.0,Sports
491,Mortal Kombat: Deadly Alliance,2002.0,Fighting
492,Style Savvy,2008.0,Simulation
493,Medal of Honor,2010.0,Shooter
494,Tomb Raider: The Last Revelation,1998.0,Action
495,Mario Party 4,2002.0,Misc
496,Need for Speed: Hot Pursuit,2010.0,Racing
497,Skylanders: Spyro's Adventure,2011.0,Action
498,Madden NFL 13,2012.0,Sports
499,Marvel: Ultimate Alliance,2006.0,Role-Playing
500,Final Fantasy Tactics,1997.0,Role-Playing
501,Final Fantasy V,1992.0,Role-Playing
502,Deca Sports,2008.0,Sports
503,Art Academy,2010.0,Misc
504,Fallout: New Vegas,2010.0,Role-Playing
